Actual range (km),Predicted range (km),Absolute error (km),Signed error (km)
135.0,135.0,0.0,0.0
165.0,160.33,4.67,-4.67
215.0,214.3,0.7,-0.7
230.0,230.86,0.86,0.86
230.0,244.82,14.82,14.82
235.0,235.04,0.04,0.04
235.0,230.01,4.99,-4.99
235.0,234.99,0.01,-0.01
240.0,237.36,2.64,-2.64
250.0,251.23,1.23,1.23
255.0,251.35,3.65,-3.65
260.0,260.15,0.15,0.15
265.0,270.59,5.59,5.59
265.0,279.12,14.12,14.12
265.0,256.1,8.9,-8.9
270.0,266.97,3.03,-3.03
290.0,326.18,36.18,36.18
310.0,308.41,1.59,-1.59
310.0,309.05,0.95,-0.95
310.0,304.99,5.01,-5.01
315.0,321.15,6.15,6.15
320.0,303.49,16.51,-16.51
330.0,324.78,5.22,-5.22
335.0,336.37,1.37,1.37
335.0,347.43,12.43,12.43
335.0,325.56,9.44,-9.44
335.0,338.36,3.36,3.36
340.0,331.21,8.79,-8.79
340.0,332.04,7.96,-7.96
345.0,346.13,1.13,1.13
345.0,356.33,11.33,11.33
345.0,334.28,10.72,-10.72
350.0,354.27,4.27,4.27
350.0,336.18,13.82,-13.82
350.0,354.77,4.77,4.77
355.0,353.8,1.2,-1.2
360.0,347.91,12.09,-12.09
360.0,356.56,3.44,-3.44
360.0,464.64,104.64,104.64
360.0,357.72,2.28,-2.28
365.0,367.43,2.43,2.43
365.0,357.22,7.78,-7.78
370.0,376.91,6.91,6.91
370.0,353.35,16.65,-16.65
370.0,364.41,5.59,-5.59
380.0,361.4,18.6,-18.6
385.0,376.28,8.72,-8.72
390.0,382.51,7.49,-7.49
395.0,407.02,12.02,12.02
400.0,413.39,13.39,13.39
400.0,407.56,7.56,7.56
405.0,413.7,8.7,8.7
415.0,410.71,4.29,-4.29
420.0,418.94,1.06,-1.06
425.0,429.64,4.64,4.64
425.0,430.51,5.51,5.51
425.0,439.96,14.96,14.96
425.0,442.21,17.21,17.21
430.0,438.49,8.49,8.49
435.0,434.45,0.55,-0.55
435.0,444.77,9.77,9.77
440.0,467.68,27.68,27.68
440.0,438.27,1.73,-1.73
450.0,420.14,29.86,-29.86
450.0,478.56,28.56,28.56
455.0,445.83,9.17,-9.17
455.0,477.73,22.73,22.73
455.0,463.15,8.15,8.15
455.0,454.99,0.01,-0.01
460.0,467.12,7.12,7.12
460.0,448.39,11.61,-11.61
465.0,434.96,30.04,-30.04
465.0,494.31,29.31,29.31
465.0,465.5,0.5,0.5
465.0,467.67,2.67,2.67
465.0,469.83,4.83,4.83
470.0,449.1,20.9,-20.9
470.0,437.86,32.14,-32.14
470.0,488.17,18.17,18.17
470.0,472.82,2.82,2.82
475.0,476.1,1.1,1.1
475.0,473.44,1.56,-1.56
480.0,467.11,12.89,-12.89
480.0,480.04,0.04,0.04
480.0,495.01,15.01,15.01
490.0,501.57,11.57,11.57
490.0,479.56,10.44,-10.44
500.0,512.79,12.79,12.79
500.0,483.06,16.94,-16.94
505.0,491.75,13.25,-13.25
505.0,492.87,12.13,-12.13
510.0,490.14,19.86,-19.86
515.0,502.65,12.35,-12.35
520.0,508.73,11.27,-11.27
520.0,520.01,0.01,0.01
535.0,527.99,7.01,-7.01
540.0,536.93,3.07,-3.07
560.0,563.89,3.89,3.89
570.0,546.74,23.26,-23.26
585.0,623.72,38.72,38.72
