 ,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,volume,battery/volume, size sum,battery/size
Abarth,500e Convertible,155,38.0,192.0,235,225,7.0,67.0,CCS,0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,https://ev-database.org/car/1904/Abarth-500e-Convertible,9.383758362,4.049550141,6.874,5.528076811
Abarth,500e Hatchback,155,38.0,192.0,235,225,7.0,67.0,CCS,0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,https://ev-database.org/car/1903/Abarth-500e-Hatchback,9.383758362,4.049550141,6.874,5.528076811
Abarth,600e Scorpionissima,200,51.0,102.0,345,280,5.9,79.0,CCS,0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3057/Abarth-600e-Scorpionissima,11.59758386,4.397467663,7.523,6.779210421
Abarth,600e Turismo,200,51.0,102.0,345,280,6.2,79.0,CCS,0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,https://ev-database.org/car/3056/Abarth-600e-Turismo,11.59758386,4.397467663,7.523,6.779210421
Aiways,U5,150,60.0,243.0,310,315,7.5,78.0,CCS,857,496,5,FWD,JC - Medium,4680,1865,1700,SUV,https://ev-database.org/car/1678/Aiways-U5,14.83794,4.043688005,8.245,7.277137659
Aiways,U6,160,60.0,186.0,315,350,7.0,78.0,CCS,1036,472,5,FWD,JC - Medium,4805,1880,1641,SUV,https://ev-database.org/car/1766/Aiways-U6,14.8238094,4.047542597,8.326,7.206341581
Alfa,Romeo Junior Elettrica 54 kWh,150,51.0,102.0,260,320,9.0,85.0,CCS,0,400,5,FWD,JB - Compact,4173,1781,1532,SUV,https://ev-database.org/car/2184/Alfa-Romeo-Junior-Elettrica-54-kWh,11.38599712,4.479186099,7.486,6.812717072
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,51.0,102.0,345,310,6.0,85.0,CCS,0,400,5,FWD,JB - Compact,4173,1781,1505,SUV,https://ev-database.org/car/2185/Alfa-Romeo-Junior-Elettrica-54-kWh-Veloce,11.18533007,4.55954359,7.459,6.837377665
Alpine,A290 Electric 180 hp,160,52.0,184.0,285,310,7.4,70.0,CCS,500,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,https://ev-database.org/car/2268/Alpine-A290-Electric-180-hp,11.01723487,4.719877592,7.332,7.092198582
Alpine,A290 Electric 220 hp,170,52.0,184.0,300,305,6.4,70.0,CCS,500,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,https://ev-database.org/car/2269/Alpine-A290-Electric-220-hp,11.01723487,4.719877592,7.332,7.092198582
